,code,name,c_name
0,600007,中国国贸,外资背景
1,600114,东睦股份,外资背景
2,600132,重庆啤酒,外资背景
3,600182,S佳通,外资背景
4,600595,中孚实业,外资背景
5,600641,万业企业,外资背景
6,600779,水井坊,外资背景
7,600801,华新水泥,外资背景
8,600819,耀皮玻璃,外资背景
9,000001,平安银行,外资背景
10,000005,世纪星源,外资背景
11,000541,佛山照明,外资背景
12,000608,阳光股份,外资背景
13,000659,珠海中富,外资背景
14,000869,张 裕Ａ,外资背景
15,000895,双汇发展,外资背景
16,000932,华菱钢铁,外资背景
17,000935,四川双马,外资背景
18,002032,苏 泊 尔,外资背景
19,002047,宝鹰股份,外资背景
20,600089,XD特变电,核电核能
21,600202,哈空调,核电核能
22,600226,升华拜克,核电核能
23,600269,赣粤高速,核电核能
24,600292,远达环保,核电核能
25,600328,兰太实业,核电核能
26,600416,湘电股份,核电核能
27,600516,方大炭素,核电核能
28,600550,保变电气,核电核能
29,600558,大西洋,核电核能
30,600622,嘉宝集团,核电核能
31,600642,申能股份,核电核能
32,600848,上海临港,核电核能
33,600875,东方电气,核电核能
34,600973,宝胜股份,核电核能
35,601106,中国一重,核电核能
36,601179,中国西电,核电核能
37,601369,陕鼓动力,核电核能
38,601727,上海电气,核电核能
39,601991,大唐发电,核电核能
40,603100,川仪股份,核电核能
41,603169,兰石重装,核电核能
42,603308,应流股份,核电核能
43,603699,纽威股份,核电核能
44,000777,中核科技,核电核能
45,000825,太钢不锈,核电核能
46,000883,湖北能源,核电核能
47,000899,赣能股份,核电核能
48,000922,佳电股份,核电核能
49,000967,盈峰环境,核电核能
50,000993,闽东电力,核电核能
51,002011,盾安环境,核电核能
52,002058,威 尔 泰,核电核能
53,002130,沃尔核材,核电核能
54,002167,东方锆业,核电核能
55,002212,南洋股份,核电核能
56,002227,奥 特 迅,核电核能
57,002248,华东数控,核电核能
58,002255,海陆重工,核电核能
59,002266,浙富控股,核电核能
60,002318,久立特材,核电核能
61,002364,中恒电气,核电核能
62,002366,台海核电,核电核能
63,002438,江苏神通,核电核能
64,002478,常宝股份,核电核能
65,002534,杭锅股份,核电核能
66,300004,南风股份,核电核能
67,300092,科新机电,核电核能
68,300153,科泰电源,核电核能
69,300411,金盾股份,核电核能
70,600209,罗顿发展,三沙概念
71,600515,海航基础,三沙概念
72,600759,洲际油气,三沙概念
73,600896,中海海盛,三沙概念
74,601118,海南橡胶,三沙概念
75,000099,中信海直,三沙概念
76,000505,*ST珠江,三沙概念
77,000566,海南海药,三沙概念
78,000567,海德股份,三沙概念
79,000613,大东海A,三沙概念
80,000691,ST亚太,三沙概念
81,000735,罗 牛 山,三沙概念
82,000886,海南高速,三沙概念
83,002320,海峡股份,三沙概念
84,002596,海南瑞泽,三沙概念
85,600071,凤凰光学,食品安全
86,600271,航天信息,食品安全
87,600288,大恒科技,食品安全
88,601933,永辉超市,食品安全
89,000061,农 产 品,食品安全
90,000530,大冷股份,食品安全
91,000701,厦门信达,食品安全
92,000997,新 大 陆,食品安全
93,002030,达安基因,食品安全
94,002161,远 望 谷,食品安全
95,002299,圣农发展,食品安全
96,002477,雏鹰农牧,食品安全
97,002512,达华智能,食品安全
98,002637,赞宇科技,食品安全
99,300012,华测检测,食品安全
100,300020,银江股份,食品安全
101,300165,天瑞仪器,食品安全
102,300203,聚光科技,食品安全
103,300260,新莱应材,食品安全
104,300271,华宇软件,食品安全
105,300306,远方光电,食品安全
106,600067,冠城大通,锂电池
107,600076,康欣新材,锂电池
108,600096,云天化,锂电池
109,600110,诺德股份,锂电池
110,600111,北方稀土,锂电池
111,600135,乐凯胶片,锂电池
112,600139,西部资源,锂电池
113,600192,长城电工,锂电池
114,600210,紫江企业,锂电池
115,600255,鑫科材料,锂电池
116,600273,嘉化能源,锂电池
117,600336,澳柯玛,锂电池
118,600367,红星发展,锂电池
119,600390,*ST金瑞,锂电池
120,600405,动力源,锂电池
121,600470,六国化工,锂电池
122,600478,科力远,锂电池
123,600482,中国动力,锂电池
124,600549,厦门钨业,锂电池
125,600580,卧龙电气,锂电池
126,600773,西藏城投,锂电池
127,600854,春兰股份,锂电池
128,600872,中炬高新,锂电池
129,600884,杉杉股份,锂电池
130,601012,隆基股份,锂电池
131,601311,骆驼股份,锂电池
132,000009,中国宝安,锂电池
133,000049,德赛电池,锂电池
134,000559,万向钱潮,锂电池
135,000571,新大洲Ａ,锂电池
136,000636,风华高科,锂电池
137,000733,振华科技,锂电池
138,000760,斯太尔,锂电池
139,000762,西藏矿业,锂电池
140,000839,中信国安,锂电池
141,000913,*ST钱江,锂电池
142,000962,*ST东钽,锂电池
143,000969,安泰科技,锂电池
144,000973,佛塑科技,锂电池
145,002012,凯恩股份,锂电池
146,002045,国光电器,锂电池
147,002056,横店东磁,锂电池
148,002070,众和股份,锂电池
149,002074,国轩高科,锂电池
150,002080,中材科技,锂电池
151,002091,江苏国泰,锂电池
152,002108,沧州明珠,锂电池
153,002139,拓邦股份,锂电池
154,002176,江特电机,锂电池
155,002190,成飞集成,锂电池
156,002192,融捷股份,锂电池
157,002206,海 利 得,锂电池
158,002263,大 东 南,锂电池
159,002340,格林美,锂电池
160,002389,南洋科技,锂电池
161,002407,多氟多,锂电池
162,002411,必康股份,锂电池
163,002460,赣锋锂业,锂电池
164,002466,天齐锂业,锂电池
165,002580,圣阳股份,锂电池
166,002594,比亚迪,锂电池
167,002632,道明光学,锂电池
168,002684,猛狮科技,锂电池
169,002709,天赐材料,锂电池
170,002733,雄韬股份,锂电池
171,300014,亿纬锂能,锂电池
172,300037,新宙邦,锂电池
173,300068,南都电源,锂电池
174,300073,当升科技,锂电池
175,300097,智云股份,锂电池
176,300207,欣旺达,锂电池
177,300438,鹏辉能源,锂电池
178,600122,宏图高科,IPV6概念
179,600198,大唐电信,IPV6概念
180,600410,华胜天成,IPV6概念
181,600485,信威集团,IPV6概念
182,600498,烽火通信,IPV6概念
183,600728,佳都科技,IPV6概念
184,600770,综艺股份,IPV6概念
185,600797,浙大网新,IPV6概念
186,000063,中兴通讯,IPV6概念
187,000532,力合股份,IPV6概念
188,000851,高鸿股份,IPV6概念
189,000890,法 尔 胜,IPV6概念
190,000938,紫光股份,IPV6概念
191,002089,新 海 宜,IPV6概念
192,002095,生 意 宝,IPV6概念
193,002268,卫 士 通,IPV6概念
194,002315,焦点科技,IPV6概念
195,002396,星网锐捷,IPV6概念
196,002439,启明星辰,IPV6概念
197,002544,杰赛科技,IPV6概念
198,300017,网宿科技,IPV6概念
199,300047,天源迪科,IPV6概念
200,300051,三五互联,IPV6概念
201,300113,顺网科技,IPV6概念
202,600036,招商银行,前海概念
203,600067,冠城大通,前海概念
204,600570,恒生电子,前海概念
205,600999,招商证券,前海概念
206,000002,万 科Ａ,前海概念
207,000005,世纪星源,前海概念
208,000006,深振业Ａ,前海概念
209,000009,中国宝安,前海概念
210,000011,深物业A,前海概念
211,000012,南 玻Ａ,前海概念
212,000014,沙河股份,前海概念
213,000016,深康佳Ａ,前海概念
214,000020,深华发Ａ,前海概念
215,000023,深天地Ａ,前海概念
216,000025,特 力Ａ,前海概念
217,000031,中粮地产,前海概念
218,000032,深桑达Ａ,前海概念
219,000036,华联控股,前海概念
220,000039,中集集团,前海概念
221,000042,中洲控股,前海概念
222,000046,泛海控股,前海概念
223,000069,华侨城Ａ,前海概念
224,000089,深圳机场,前海概念
225,000090,天健集团,前海概念
226,002138,顺络电子,前海概念
227,002168,深圳惠程,前海概念
228,002183,怡 亚 通,前海概念
229,002294,信立泰,前海概念
230,002336,*ST人乐,前海概念
231,002416,爱施德,前海概念
232,300037,新宙邦,前海概念
233,600059,古越龙山,O2O模式
234,600122,宏图高科,O2O模式
235,600138,中青旅,O2O模式
236,600177,雅戈尔,O2O模式
237,600251,冠农股份,O2O模式
238,600280,中央商场,O2O模式
239,600306,*ST商城,O2O模式
240,600436,片仔癀,O2O模式
241,600594,益佰制药,O2O模式
242,600640,号百控股,O2O模式
243,600645,中源协和,O2O模式
244,600729,重庆百货,O2O模式
245,600757,长江传媒,O2O模式
246,600827,百联股份,O2O模式
247,600859,王府井,O2O模式
248,600978,宜华生活,O2O模式
249,600998,九州通,O2O模式
250,601010,文峰股份,O2O模式
