date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-21,6.43,6.66,6.61,6.43,95989.12,0.2,3.12,6.444,6.484,6.709,58650.98,60548.75,62448.76,1.18
2016-12-20,6.45,6.47,6.41,6.4,34831.71,0.02,0.31,6.366,6.513,6.734,53823.86,55149.28,64411.17,0.43
2016-12-19,6.4,6.44,6.39,6.35,36340.1,-0.05,-0.78,6.352,6.552,6.774,59610.77,54690.64,69694.01,0.45
2016-12-16,6.36,6.48,6.44,6.31,54719.92,0.07,1.1,6.348,6.593,6.818,72832.23,55743.36,75563.63,0.67
2016-12-15,6.21,6.45,6.37,6.17,71374.05,0.15,2.41,6.428,6.636,6.853,68156.77,55517.34,78784.14,0.88
2016-12-14,6.35,6.36,6.22,6.19,71853.53,-0.12,-1.89,6.524,6.699,6.896,62446.52,54706.03,83013.37,0.88
2016-12-13,6.37,6.42,6.34,6.28,63766.27,-0.03,-0.47,6.66,6.768,6.949,56474.7,53619.28,91955.45,0.78
2016-12-12,6.85,6.86,6.37,6.35,102447.39,-0.47,-6.87,6.752,6.825,6.991,49770.51,55997.12,94624.4,1.26
2016-12-09,6.87,6.88,6.84,6.82,31342.59,-0.01,-0.15,6.838,6.893,7.032,38654.49,52533.58,97087.39,0.38
2016-12-08,6.89,6.9,6.85,6.82,42822.8,-0.05,-0.72,6.844,6.916,7.047,42877.91,59482.08,103362.02,0.53
2016-12-07,6.81,6.9,6.9,6.78,41994.47,0.1,1.47,6.874,6.934,7.061,46965.54,64348.76,111416.5,0.52
2016-12-06,6.81,6.87,6.8,6.8,30245.3,0.0,0.0,6.876,6.955,7.071,50763.85,73673.05,124607.2,0.37
2016-12-05,6.85,6.87,6.8,6.73,46867.29,-0.07,-1.02,6.898,6.996,7.084,62223.74,84697.38,131995.77,0.57
2016-12-02,7.0,7.02,6.87,6.87,52459.7,-0.13,-1.86,6.948,7.042,7.091,66412.68,95383.89,133601.46,0.64
2016-12-01,6.95,7.03,7.0,6.91,63260.93,0.09,1.3,6.988,7.069,7.095,76086.24,102050.94,135628.02,0.78
2016-11-30,6.89,7.0,6.91,6.87,60986.05,0.0,0.0,6.994,7.093,7.094,81731.99,111320.71,139276.29,0.75
2016-11-29,7.04,7.04,6.91,6.91,87544.72,-0.14,-1.99,7.034,7.13,7.096,96582.25,130291.62,142662.36,1.07
2016-11-28,7.07,7.08,7.05,7.02,67811.98,-0.02,-0.28,7.094,7.157,7.097,107171.03,133251.67,151025.96,0.83
2016-11-25,7.01,7.08,7.07,6.93,100827.53,0.04,0.57,7.136,7.17,7.101,124355.11,141641.19,171412.66,1.24
