date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-03-31,2.15,2.15,2.12,1.93,72.0,0.0,0.0,2.098,2.053,2.012,269.2,471.05,560.54
2017-03-30,2.09,2.18,2.12,2.0,452.0,0.03,1.44,2.074,2.043,2.003,645.31,889.45,559.44
2017-03-29,2.02,2.28,2.09,2.02,50.0,0.01,0.48,2.05,2.031,1.995,580.51,880.25,539.39
2017-03-28,2.03,2.08,2.08,2.03,135.0,0.0,0.0,2.032,2.02,1.988,603.91,904.25,539.54
2017-03-27,2.06,2.09,2.08,2.02,637.0,0.08,4.0,2.022,2.01,1.981,649.91,908.67,539.49
2017-03-24,2.0,2.07,2.0,2.0,1952.54,0.0,0.0,2.008,1.998,1.974,672.91,870.88,511.59
2017-03-23,2.05,2.07,2.0,2.0,128.0,0.0,0.0,2.012,1.992,1.971,1133.6,676.63,414.76
2017-03-22,2.03,2.05,2.0,2.0,167.0,-0.03,-1.48,2.012,1.987,1.969,1180.0,669.53,429.21
2017-03-21,1.99,2.03,2.03,1.99,365.0,0.02,0.99,2.008,1.985,1.966,1204.6,653.53,435.11
2017-03-20,2.02,2.02,2.01,1.97,752.0,-0.01,-0.49,1.998,1.977,1.961,1167.43,635.33,418.16
2017-03-17,2.02,2.02,2.02,1.99,4256.0,0.02,1.0,1.988,1.971,1.957,1068.85,650.03,394.96
2017-03-16,1.99,2.0,2.0,1.96,360.0,0.02,1.01,1.972,1.963,1.953,219.65,229.43,183.71
2017-03-15,1.97,1.98,1.98,1.97,290.0,0.0,0.0,1.962,1.958,1.95,159.05,198.53,171.97
2017-03-14,1.97,1.98,1.98,1.97,179.13,0.02,1.02,1.962,1.955,1.949,102.45,174.83,183.62
2017-03-13,1.97,1.97,1.96,1.94,259.13,0.02,1.03,1.956,1.951,1.947,103.23,170.31,217.21
2017-03-10,1.94,1.94,1.94,1.94,10.0,-0.01,-0.51,1.954,1.95,1.947,231.2,152.3,233.86
2017-03-09,1.95,1.95,1.95,1.95,57.0,-0.03,-1.51,1.954,1.95,1.952,239.2,152.9,268.21
2017-03-08,1.99,1.99,1.98,1.98,7.0,0.03,1.54,1.954,1.95,1.953,238.0,188.9,287.66
