date,open,high,close,low,volume,amount
2017-01-26,30.93,31.88,31.5,30.92,822866.0,25846041.0
2017-01-25,30.99,31.2,30.9,30.71,669802.0,20714008.0
2017-01-24,30.56,31.39,30.99,30.56,926443.0,28706983.0
2017-01-23,30.1,31.16,30.81,30.1,1749448.0,54068875.0
2017-01-20,29.25,30.39,30.14,29.04,1856802.0,55602920.0
2017-01-19,29.54,29.95,29.03,29.01,1526193.0,45015100.0
2017-01-18,30.95,30.95,29.88,29.69,1963151.0,59149566.0
2017-01-17,30.69,31.5,31.05,30.03,1554081.0,47946237.0
2017-01-16,32.3,32.4,30.6,29.52,2643304.0,82329077.0
2017-01-13,32.0,32.99,32.3,31.81,2643493.0,85904486.0
2017-01-12,32.81,33.27,32.17,32.05,1678108.0,54824009.0
2017-01-11,32.72,33.38,32.8,32.5,2534104.0,83523382.0
2017-01-10,33.8,33.8,32.85,32.81,2482600.0,82221321.0
2017-01-09,31.55,34.94,34.02,31.55,4227393.0,140758022.0
2017-01-06,32.55,32.86,32.0,32.0,1621326.0,52333316.0
2017-01-05,32.55,33.11,32.68,32.25,2547780.0,83334555.0
2017-01-04,32.23,32.95,32.69,31.58,3094553.0,99859977.0
2017-01-03,31.7,32.45,32.22,31.51,2092325.0,67144739.0
2016-12-30,32.9,32.9,31.83,31.28,5258174.0,169235842.0
2016-12-29,34.1,34.1,33.04,33.0,4008202.0,134013858.0
2016-12-28,34.7,34.9,34.36,34.2,2710647.0,93621578.0
2016-12-27,33.85,35.3,35.0,33.85,3938346.0,136207680.0
2016-12-26,33.2,34.08,34.07,32.94,2936003.0,98328708.0
2016-12-23,35.7,35.7,34.08,33.8,5142609.0,177583249.0
2016-12-22,35.73,37.28,36.1,35.73,7225364.0,264135961.0
2016-12-21,37.0,37.77,35.89,35.4,7544715.0,273347327.0
2016-12-20,39.75,39.75,37.38,37.06,11245809.0,427492917.0
2016-12-19,39.81,39.81,39.81,39.42,10743933.0,427619933.0
2016-12-16,36.19,36.19,36.19,36.19,1524795.0,55182331.0
2016-12-15,32.02,33.6,32.9,32.01,852212.0,28247975.0
2016-12-14,32.7,33.58,32.9,32.6,1434245.0,47293222.0
2016-12-13,33.38,33.76,33.46,32.3,1226867.0,40632951.0
2016-12-12,35.3,35.3,33.2,32.34,2898233.0,97876016.0
2016-12-09,36.0,36.45,35.58,35.57,1870200.0,67409072.0
2016-12-08,36.24,36.87,36.23,35.61,3176901.0,115510416.0
2016-12-07,34.55,36.97,36.09,34.4,3968093.0,142850675.0
2016-12-06,35.0,35.39,34.5,34.35,1573753.0,54675322.0
2016-12-05,34.0,35.43,35.14,33.0,2469106.0,85176683.0
2016-12-02,36.0,36.5,34.5,34.28,4089667.0,144397802.0
2016-11-23,36.42,37.0,35.47,35.4,3829829.0,138909573.0
2016-11-22,37.27,37.27,36.69,36.09,4763755.0,174069755.0
2016-11-21,35.99,39.45,37.13,35.99,8871197.0,336863174.0
2016-11-18,35.1,36.02,35.86,35.1,5532421.0,197228118.0
2016-11-17,34.34,35.52,35.09,34.05,4490911.0,157255771.0
2016-11-16,34.42,35.15,34.61,34.42,3742973.0,130473017.0
2016-11-15,34.65,34.79,34.26,33.72,2520393.0,85998614.0
2016-11-14,32.85,34.44,34.35,32.85,4558018.0,154367706.0
2016-11-11,33.2,33.75,32.94,32.85,2897480.0,96444535.0
2016-11-10,32.5,33.29,33.2,32.5,2332504.0,76819958.0
2016-11-09,33.28,33.3,32.32,31.41,2968078.0,96724374.0
2016-11-08,33.14,33.35,33.25,32.83,2549122.0,84473992.0
2016-11-07,34.11,34.11,33.2,32.78,5170307.0,172340603.0
2016-11-04,35.6,36.75,34.68,34.6,10806023.0,385323518.0
2016-11-03,32.88,33.56,33.41,32.68,2310592.0,76488905.0
2016-11-02,32.86,33.33,33.08,32.8,1786195.0,59011933.0
2016-11-01,32.3,33.54,33.12,32.3,2757183.0,91668985.0
2016-10-31,32.7,32.7,32.41,32.0,838988.0,27037413.0
2016-10-28,32.9,32.9,32.54,32.3,1342790.0,43830053.0
